semantics 1
# The behaviour fingerprint. See docs/SEMANTICS-VERSION.md §5.
# scenario/pos kind command | verdict | T[trades] E[events] | state last mark bid ask counters | digest

== fifo (fifo, stp=CANCEL_NEWEST, maxOrders=100000, shard=0)
fifo/0000 SUBMIT      u3 S L 98x9 GTC+g1       | NEW                          | T[] E[ACCEPTED#1/NEW/0] | OPEN last=0 mark=0 bid=- ask=98:9 n=1 oid=1 tid=0 eid=1 | 7f166b16bfe9d4fa
fifo/0001 SUBMIT      u3 S L 104x6 GTC         | NEW                          | T[] E[ACCEPTED#2/NEW/0] | OPEN last=0 mark=0 bid=- ask=98:9 n=2 oid=2 tid=0 eid=2 | 66a120aecf263704
fifo/0002 SUBMIT      u2 S L 104x5 FOK+CANCEL_BOTH | REJECTED:FOK_CANNOT_FILL     | T[] E[REJECTED#3/FOK_CANNOT_FILL/REJECTED/0] | OPEN last=0 mark=0 bid=- ask=98:9 n=2 oid=3 tid=0 eid=3 | 139207a5e90ec947
fifo/0003 SUBMIT      u2 B L 102x5 FOK         | FILLED                       | T[1:98x5 b4 s1 m1 t4 B seq1] E[ACCEPTED#4/FILLED/5 TRADE#4/98x5] | OPEN last=98 mark=0 bid=- ask=98:4 n=2 oid=4 tid=1 eid=5 | 39b012e27657c992
fifo/0004 SUBMIT      u2 B L 101x5 IOC+CANCEL_NEWEST | CANCELLED                    | T[2:98x4 b5 s1 m1 t5 B seq2] E[ACCEPTED#5/CANCELLED/4 TRADE#5/98x4 CANCELED#5/CANCELLED/4] | OPEN last=98 mark=0 bid=- ask=104:6 n=1 oid=5 tid=2 eid=8 | a6a950f8e51b1f94
fifo/0005 REDUCE      u0 <-3 to 2              | REJECTED:ORDER_NOT_FOUND     | T[] E[] | OPEN last=98 mark=0 bid=- ask=104:6 n=1 oid=5 tid=2 eid=8 | a6a950f8e51b1f94
fifo/0006 SUBMIT      u2 B L 101x5 FOK         | REJECTED:FOK_CANNOT_FILL     | T[] E[REJECTED#6/FOK_CANNOT_FILL/REJECTED/0] | OPEN last=98 mark=0 bid=- ask=104:6 n=1 oid=6 tid=2 eid=9 | b0d83bbfa614bf53
fifo/0007 CANCEL      u2 <-2                   | REJECTED:ORDER_NOT_FOUND     | T[] E[] | OPEN last=98 mark=0 bid=- ask=104:6 n=1 oid=6 tid=2 eid=9 | b0d83bbfa614bf53
fifo/0008 REPLACE     u2 S L 99x3 GTC <-3      | REJECTED:ORDER_NOT_FOUND     | T[] E[] | OPEN last=98 mark=0 bid=- ask=104:6 n=1 oid=6 tid=2 eid=9 | b0d83bbfa614bf53
fifo/0009 SUBMIT      u3 S L 98x7 GTC+CANCEL_BOTH+priv | NEW                          | T[] E[ACCEPTED#7/NEW/0] | OPEN last=98 mark=0 bid=- ask=98:7 n=2 oid=7 tid=2 eid=10 | f6fc7df19922ae79
fifo/0010 CANCEL      u2 <-8                   | REJECTED:ORDER_NOT_FOUND     | T[] E[] | OPEN last=98 mark=0 bid=- ask=98:7 n=2 oid=7 tid=2 eid=10 | f6fc7df19922ae79
fifo/0011 SUBMIT      u3 S L 100x3 GTC+CANCEL_OLDEST | NEW                          | T[] E[ACCEPTED#8/NEW/0] | OPEN last=98 mark=0 bid=- ask=98:7 n=3 oid=8 tid=2 eid=11 | 0ddef1a58a1b9e9a
fifo/0012 SUBMIT      u3 S L 101x4 IOC+DECREMENT+g1 | CANCELLED                    | T[] E[ACCEPTED#9/CANCELLED/0 CANCELED#9/CANCELLED/0] | OPEN last=98 mark=0 bid=- ask=98:7 n=3 oid=9 tid=2 eid=13 | 3c9238dd226ef09c
fifo/0013 SUBMIT      u3 B L 100x7 GTC         | CANCELLED                    | T[] E[ACCEPTED#10/CANCELLED/0 CANCELED#10/CANCELLED/0] | OPEN last=98 mark=0 bid=- ask=98:7 n=3 oid=10 tid=2 eid=15 | fbab43ffaed8f541
fifo/0014 SUBMIT      u2 B L 100x5 FOK         | FILLED                       | T[3:98x5 b11 s7 m7 t11 B seq3] E[ACCEPTED#11/FILLED/5 TRADE#11/98x5] | OPEN last=98 mark=0 bid=- ask=98:2 n=3 oid=11 tid=3 eid=17 | 2db1aacb86674fc0
fifo/0015 SUBMIT      u2 S L 103x5 GTC+DECREMENT | NEW                          | T[] E[ACCEPTED#12/NEW/0] | OPEN last=98 mark=0 bid=- ask=98:2 n=4 oid=12 tid=3 eid=18 | 04bad485165352a0
fifo/0016 REDUCE      u3 <-10 to 7             | REJECTED:ORDER_NOT_FOUND     | T[] E[] | OPEN last=98 mark=0 bid=- ask=98:2 n=4 oid=12 tid=3 eid=18 | 04bad485165352a0
